day,market_price,peg_deviation_bps,supply,action,action_magnitude,in_band
611,3.2791442955557777,22791.442955557777,16828.47900684906,burn,-1242.7092150833375,False
612,3.3573585809225728,23573.58580922573,16589.347462599893,burn,-1238.1315442491632,False
613,3.370254512680265,23702.545126802648,16365.670332613416,burn,-1222.677129986478,False
614,3.154053996015004,21540.53996015004,16193.861440208444,burn,-1170.808892404972,False
615,2.9085768281353834,19085.768281353834,16074.096081169853,burn,-1118.7653590385914,False
616,2.8463165362874383,18463.165362874384,15972.61258310599,burn,-1100.483498063863,False
617,2.7966978195085885,17966.978195085885,15886.002371951472,burn,-1085.6102111545194,False
618,2.7478594065028923,17478.594065028923,15813.037266578473,burn,-1071.9651053730001,False
619,2.7036690114554562,17036.690114554563,15751.983587568948,burn,-1060.053679009524,False
620,2.984410969843259,19844.10969843259,15650.800317910873,burn,-1100.1832696580752,False
621,3.138150431956291,21381.50431956291,15532.622647413302,burn,-1117.1776704975716,False
622,3.175618247083568,21756.18247083568,15417.060942474878,burn,-1114.5617049384236,False
623,3.1642493337880944,21642.493337880944,15311.544256613917,burn,-1104.516685860961,False
624,3.158360311934176,21583.60311934176,15214.48874940423,burn,-1096.0555072096872,False
625,3.27405737907468,22740.5737907468,15106.778107839706,burn,-1106.7106415645255,False
626,3.260843843338771,22608.438433387713,15008.898539669777,burn,-1096.8795681699287,False
627,3.4102439161654967,24102.439161654966,14895.702548750445,burn,-1112.1959909193317,False
628,3.4693244270131265,24693.244270131265,14782.09419970141,burn,-1112.608349049034,False
629,3.831586895815732,28315.86895815732,14623.421647430458,burn,-1157.6725522709532,False
630,3.804844406314174,28048.44406314174,14481.086340969247,burn,-1141.335306461212,False
631,4.015667565886035,30156.675658860346,14319.330599948222,burn,-1160.7557410210247,False
632,3.8068717407295027,28068.717407295026,14200.438825879231,burn,-1117.8917740689901,False
633,3.688141319268649,26881.41319268649,14107.689020989343,burn,-1091.749804889889,False
634,4.041102225397239,30411.02225397239,13972.275325170447,burn,-1134.413695818896,False
635,4.216903857533871,32169.03857533871,13823.186894991264,burn,-1148.088430179184,False
636,4.321416000808938,33214.16000808938,13671.902008889738,burn,-1150.2848861015273,False
637,4.840723929141051,38407.23929141051,13462.206896421107,burn,-1208.6951124686311,False
638,4.826778094662611,38267.78094662611,13272.927767029649,burn,-1188.2791293914577,False
639,5.093584512476763,40935.845124767635,13064.942863254813,burn,-1206.9849037748359,False
640,5.395896471488909,43958.96471488909,12836.374357764213,burn,-1227.5685054906012,False
641,5.8365878435670195,48365.878435670194,12572.713118133624,burn,-1262.6612396305886,False
642,5.5020505642959225,45020.50564295922,12377.047560344701,burn,-1194.6655577889235,False
643,5.484405942992674,44844.05942992674,12202.158125964339,burn,-1173.8894343803627,False
644,5.574559268837724,45745.59268837724,12032.855264116584,burn,-1168.3028618477542,False
645,6.024345724445663,50243.45724445663,11828.569737704926,burn,-1203.2855264116586,False
646,6.160958095956422,51609.58095956422,11644.712763934433,burn,-1182.8569737704927,False
647,6.527371987888499,55273.719878884986,11479.241487540989,burn,-1164.4712763934433,False
648,6.126719344656588,51267.193446565885,11330.31733878689,burn,-1147.924148754099,False
